"PA_ID","PA","Cluster","Current_Habitat_Quality","Mean_Without_Intervention_HQ","Mean_With_Intervention_HQ","Intervention_Change","Intervention_Change_pct"
1,"Okanguati","Cluster E — Kunene (North)",0.225237816919324,0.223155924199755,0.212406749039365,-0.0107491751603902,-4.81688989388791
2,"Iipumbu ya Tshilongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",0.206341268737359,0.206339295379062,0.205378800769754,-0.000960494609307389,-0.465492822170825
3,"Otjitanda","Cluster E — Kunene (North)",0.199720449433805,0.200555896584672,0.199658313332015,-0.000897583252657208,-0.447547675207973
4,"Orupupa","Cluster A — South, Kunene South & Erongo",0.220558609286843,0.218263150437205,0.213221597533866,-0.0050415529033391,-2.30985069776567
5,"Omuramba ua Mbinda","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",0.227986346210369,0.223452478647232,0.209706628824889,-0.0137458498223434,-6.15157634659503
6,"Otjombinde","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",0.227829117588276,0.223439528002373,0.209676628711305,-0.0137628992910677,-6.15956335663291
7,"Bamunu","Cluster C — Kavango East, Kavango West & Zambezi",0.222953289586462,0.224602258735268,0.223379654906442,-0.00122260382882586,-0.544341733565069
8,"Mashi","Cluster C — Kavango East, Kavango West & Zambezi",0.227829392457878,0.228043536113439,0.226529767365431,-0.00151376874800807,-0.663806908894385
9,"Ovitoto","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",0.227837049400858,0.223452478647232,0.209895712917462,-0.0135567657297703,-6.06695697082535
10,"Salambala","Cluster C — Kavango East, Kavango West & Zambezi",0.223067136572613,0.225994187867558,0.228371492485946,0.00237730461838789,1.05193175135154
11,"Doro !nawas Area2","Cluster E — Kunene (North)",0.0912327121133803,0.0848857555808101,0.132505935473184,0.0476201798923737,56.0991412122614
12,"Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Cluster E — Kunene (North)",0.0562371152761071,0.0473788535988337,0.104971013751155,0.0575921601523216,121.556677246702
13,"Kwandu","Cluster C — Kavango East, Kavango West & Zambezi",0.223636401237856,0.224365217260082,0.226816628990917,0.00245141173083466,1.09259882648967
14,"Orupembe","Cluster E — Kunene (North)",0.0742085066359961,0.0712855121676175,0.125256938434428,0.0539714262668103,75.7116342797739
15,"Mayuni","Cluster C — Kavango East, Kavango West & Zambezi",0.224950571604745,0.224319220295859,0.22278909732436,-0.00153012297149968,-0.68211853156478
16,"Uibasen Twyfelfontein","Cluster E — Kunene (North)",0.0677339309238047,0.0589986637907637,0.118592441213394,0.0595937774226301,101.008690017077
17,"Oskop","Cluster F —    //Karas,Hardap",0.205922904329737,0.20508299767971,0.20508299767971,0,0
18,"//Huab","Cluster E — Kunene (North)",0.192013251923186,0.193001494921147,0.194393335868246,0.0013918409470994,0.721155526628463
19,"Omatendeka","Cluster A — South, Kunene South & Erongo",0.185000931391233,0.1849999563381,0.188899384245819,0.00389942790771863,2.10779936649939
20,"//Gamaseb","Cluster F —    //Karas,Hardap",0.0562979148005267,0.0521627335419675,0.0896584254417053,0.0374956918997378,71.8821452667367
21,"Ehi-Rovipuka","Cluster A — South, Kunene South & Erongo",0.213604837632637,0.214712887564224,0.210665243401505,-0.00404764416271844,-1.88514262401121
22,"/Audi","Cluster E — Kunene (North)",0.227885046016892,0.223412982665278,0.21265203050062,-0.0107609521646582,-4.81661899692751
23,"Uukolonkadhi Ruacana","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",0.219362757038598,0.219548113805737,0.213805971482483,-0.00574214232325426,-2.61543687336575
24,"Uukwaluudhi","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",0.226790361578835,0.223036216633756,0.21566576113426,-0.00737045549949678,-3.30460030695359
25,"Okamatapati","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",0.227811641915513,0.223443105306386,0.209710816992226,-0.0137322883141605,-6.14576506862037
26,"Otjituuo","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",0.227855378576615,0.223452077480829,0.209801815206878,-0.0136502622739514,-6.10880974025517
