"unit_id","unit","species","feeding_regime","forage_profile","carrying_capacity_animals_Current","carrying_capacity_animals_SSP245_2050_Without_Intervention","carrying_capacity_animals_SSP245_2050_With_Intervention","carrying_capacity_animals_SSP245_2090_Without_Intervention","carrying_capacity_animals_SSP245_2090_With_Intervention","carrying_capacity_animals_SSP585_2050_Without_Intervention","carrying_capacity_animals_SSP585_2050_With_Intervention","carrying_capacity_animals_SSP585_2090_Without_Intervention","carrying_capacity_animals_SSP585_2090_With_Intervention","capacity_change_from_current_animals_Current","capacity_change_from_current_animals_SSP245_2050_Without_Intervention","capacity_change_from_current_animals_SSP245_2050_With_Intervention","capacity_change_from_current_animals_SSP245_2090_Without_Intervention","capacity_change_from_current_animals_SSP245_2090_With_Intervention","capacity_change_from_current_animals_SSP585_2050_Without_Intervention","capacity_change_from_current_animals_SSP585_2050_With_Intervention","capacity_change_from_current_animals_SSP585_2090_Without_Intervention","capacity_change_from_current_animals_SSP585_2090_With_Intervention","capacity_change_from_current_pct_Current","capacity_change_from_current_pct_SSP245_2050_Without_Intervention","capacity_change_from_current_pct_SSP245_2050_With_Intervention","capacity_change_from_current_pct_SSP245_2090_Without_Intervention","capacity_change_from_current_pct_SSP245_2090_With_Intervention","capacity_change_from_current_pct_SSP585_2050_Without_Intervention","capacity_change_from_current_pct_SSP585_2050_With_Intervention","capacity_change_from_current_pct_SSP585_2090_Without_Intervention","capacity_change_from_current_pct_SSP585_2090_With_Intervention"
"Conservancy_1","Okanguati","Cattle","Grazer","Cattle_Grazer",2986,2784,7616,2631,7269,2695,7371,2533,6997,0,-202,4630,-355,4283,-291,4385,-453,4011,0,-6.76683422169489,155.038638783968,-11.8856296719319,143.421188114158,-9.76049665299855,146.845357632735,-15.1802065831669,134.313077844198
"Conservancy_1","Okanguati","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",35422,33963,62604,32281,59768,32872,60593,31073,57532,0,-1459,27182,-3141,24346,-2550,25170,-4349,22110,0,-4.11853742780987,76.7372246508373,-8.86736376955293,68.7318599695494,-7.19862858391379,71.0588344743972,-12.2765594907925,62.4179258585256
"Conservancy_1","Okanguati","Goats","Browser-Mixed","Goat_Browser_Mixed",64621,63842,57378,61043,54827,61790,55534,58759,52775,0,-779,-7243,-3578,-9794,-2831,-9087,-5863,-11847,0,-1.20616948898604,-11.2082613834716,-5.53691698547464,-15.1566199158622,-4.38133732031666,-14.0620102664615,-9.07261796354308,-18.3322306887224
"Conservancy_1","Okanguati","Donkeys","Grazer","Donkey_Grazer",12212,11544,26093,10942,24906,11173,25255,10532,23974,0,-668,13881,-1270,12694,-1039,13043,-1679,11762,0,-5.46922827544059,113.670363928339,-10.3997593000742,103.952267122793,-8.5052934090598,106.805748339349,-13.750819662488,96.3207165042275
"Conservancy_2","Iipumbu ya Tshilongo","Cattle","Grazer","Cattle_Grazer",11069,10779,12224,10378,11793,10389,11786,9871,11214,0,-289,1155,-691,724,-679,718,-1198,146,0,-2.61442987579811,10.4364065096574,-6.24050923761349,6.54484959629563,-6.1385967737958,6.48253972406899,-10.8243818672755,1.31568471651271
"Conservancy_2","Iipumbu ya Tshilongo","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",88687,86540,95272,83448,91992,83403,91852,79360,87472,0,-2147,6585,-5239,3305,-5284,3165,-9327,-1215,0,-2.42060704814087,7.42481822375392,-5.90740904944546,3.72624884679726,-5.95838626629992,3.56825205275539,-10.5171227319896,-1.36963898308389
"Conservancy_2","Iipumbu ya Tshilongo","Goats","Browser-Mixed","Goat_Browser_Mixed",74334,73208,71942,70986,69694,70536,69319,67482,66257,0,-1126,-2392,-3349,-4640,-3798,-5015,-6852,-8078,0,-1.51475130912543,-3.2180282255117,-4.50502232812321,-6.24192488997319,-5.10917222748651,-6.74644111790822,-9.21785552917592,-10.8668725240917
"Conservancy_2","Iipumbu ya Tshilongo","Donkeys","Grazer","Donkey_Grazer",37529,36604,40968,35260,39536,35278,39500,33535,37595,0,-926,3439,-2269,2007,-2251,1971,-3994,66,0,-2.46624804405128,9.16382147017867,-6.04597640324491,5.34788201927341,-5.99872315676888,5.25255454019946,-10.6435927119294,0.175214960147655
"Conservancy_3","Otjitanda","Cattle","Grazer","Cattle_Grazer",2837,2643,7475,2480,7076,2579,7301,2395,6834,0,-194,4638,-357,4239,-258,4464,-442,3997,0,-6.83657017462963,163.500087168321,-12.5881483406799,149.425819461122,-9.09409012598407,157.346869515027,-15.5710976657185,140.911883930306
"Conservancy_3","Otjitanda","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",32571,31544,61049,29785,57829,30782,59619,28767,55855,0,-1027,28478,-2786,25258,-1789,27048,-3804,23284,0,-3.15456503190814,87.432111252833,-8.5525759291723,77.5475786427789,-5.49140812360826,83.0426191852114,-11.6787132274751,71.4859866777965
